ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
IMOM,8035 JT,Tokyo Electron Ltd,0.027999999999999997,2026-06-15,2026-06-16
IMOM,7735 JP,SCREEN Holdings Co Ltd,0.0269,2026-06-15,2026-06-16
IMOM,TRE SM,Tecnicas Reunidas SA,0.0232,2026-06-15,2026-06-16
IMOM,TPRO IM,Technoprobe SpA,0.0229,2026-06-15,2026-06-16
IMOM,FRO,Frontline PLC,0.0227,2026-06-15,2026-06-16
IMOM,BHP AU,BHP Group Ltd,0.0215,2026-06-15,2026-06-16
IMOM,1801 JP,Taisei Corp,0.0215,2026-06-15,2026-06-16
IMOM,TIGO,Millicom International Cellular SA,0.0212,2026-06-15,2026-06-16
IMOM,CDA AU,Codan Ltd,0.0209,2026-06-15,2026-06-16
IMOM,PLS AU,PLS Group Ltd,0.0209,2026-06-15,2026-06-16
IMOM,6963 JP,Rohm Co Ltd,0.0208,2026-06-15,2026-06-16
IMOM,RWE GR,RWE AG,0.0207,2026-06-15,2026-06-16
IMOM,GLEN LN,Glencore PLC,0.0207,2026-06-15,2026-06-16
IMOM,KEP SP,KEPPEL LTD,0.020499999999999997,2026-06-15,2026-06-16
IMOM,ANA SM,Acciona SA,0.0204,2026-06-15,2026-06-16
IMOM,7173 JP,Tokyo Kiraboshi Financial Group Inc,0.0204,2026-06-15,2026-06-16
IMOM,522 HK,ASMPT Ltd,0.0203,2026-06-15,2026-06-16
IMOM,RIO AU,Rio Tinto Ltd,0.0203,2026-06-15,2026-06-16
IMOM,TSEM IT,Tower Semiconductor Ltd,0.0203,2026-06-15,2026-06-16
IMOM,REP SM,Repsol SA,0.0202,2026-06-15,2026-06-16
IMOM,SAND SS,Sandvik AB,0.0202,2026-06-15,2026-06-16
IMOM,TEVA,Teva Pharmaceutical Industries Ltd,0.020099999999999996,2026-06-15,2026-06-16
IMOM,ZEG LN,Zegona Communications plc,0.02,2026-06-15,2026-06-16
IMOM,1942 JP,Kandenko Co Ltd,0.0199,2026-06-15,2026-06-16
IMOM,ABBN SW,ABB Ltd,0.0199,2026-06-15,2026-06-16
IMOM,NDA GR,Aurubis AG,0.019799999999999998,2026-06-15,2026-06-16
IMOM,8002 JP,Marubeni Corp,0.0196,2026-06-15,2026-06-16
IMOM,4004 JP,Resonac Holdings Corp,0.0195,2026-06-15,2026-06-16
IMOM,5020 JP,ENEOS Holdings Inc,0.0195,2026-06-15,2026-06-16
IMOM,ESLT IT,Elbit Systems Ltd,0.0194,2026-06-15,2026-06-16
IMOM,WDS AU,Woodside Energy Group Ltd,0.0194,2026-06-15,2026-06-16
IMOM,VWS DC,Vestas Wind Systems A/S,0.0194,2026-06-15,2026-06-16
IMOM,8015 JP,Toyota Tsusho Corp,0.019299999999999998,2026-06-15,2026-06-16
IMOM,1605 JP,Inpex Corp,0.0192,2026-06-15,2026-06-16
IMOM,SLR SM,Solaria Energia y Medio Ambiente SA,0.0192,2026-06-15,2026-06-16
IMOM,ENLT IT,Enlight Renewable Energy Ltd,0.019,2026-06-15,2026-06-16
IMOM,POLI IT,Bank Hapoalim BM,0.018600000000000002,2026-06-15,2026-06-16
IMOM,LYC AU,Lynas Rare Earths Ltd,0.018600000000000002,2026-06-15,2026-06-16
IMOM,5214 JP,Nippon Electric Glass Co Ltd,0.018500000000000003,2026-06-15,2026-06-16
IMOM,16 HK,Sun Hung Kai Properties Ltd,0.018500000000000003,2026-06-15,2026-06-16
IMOM,6503 JP,Mitsubishi Electric Corp,0.0183,2026-06-15,2026-06-16
IMOM,8031 JP,Mitsui & Co Ltd,0.0183,2026-06-15,2026-06-16
IMOM,ENR GR,Siemens Energy AG,0.0182,2026-06-15,2026-06-16
IMOM,MGOR IT,Mega Or Holdings Ltd,0.0178,2026-06-15,2026-06-16
IMOM,6754 JP,Anritsu Corp,0.0173,2026-06-15,2026-06-16
IMOM,DORL IT,Doral Group Renewable Energy Resources Ltd,0.017,2026-06-15,2026-06-16
IMOM,TASE IT,Tel Aviv Stock Exchange Ltd,0.0169,2026-06-15,2026-06-16
IMOM,VBK GR,Verbio SE,0.0163,2026-06-15,2026-06-16
IMOM,OPCE IT,OPC Energy Ltd,0.015600000000000001,2026-06-15,2026-06-16
IMOM,9412 JP,SKY Perfect JSAT Corp,0.0147,2026-06-15,2026-06-16
IMOM,FGXXX,First American Government Obligations Fund 12/01/2031,0.0049,2026-06-15,2026-06-16
IMOM,Cash&Other,Cash & Other,0.003,2026-06-15,2026-06-16
IMOM,JPY,JAPANESE YEN,0.0,2026-06-15,2026-06-16
IMOM,EUR,EURO,-0.0001,2026-06-15,2026-06-16
IMOM,HKD,HONG KONG DOLLAR,-0.0001,2026-06-15,2026-06-16
