ETF_Ticker,ticker,name,weight,Date_Scraped
FPX,GEV,GE Vernova Inc.,0.1176,2026-02-07
FPX,MDLN,Medline Inc. (Class A),0.056299999999999996,2026-02-07
FPX,APP,Applovin Corp. (Class A),0.046,2026-02-07
FPX,IBM,International Business Machines Corporation,0.0418,2026-02-07
FPX,PLTR,Palantir Technologies Inc. (Class A),0.0356,2026-02-07
FPX,CEG,Constellation Energy Corporation,0.0338,2026-02-07
FPX,ASTS,"AST SpaceMobile, Inc.",0.0331,2026-02-07
FPX,SNDK,Sandisk Corporation,0.0285,2026-02-07
FPX,WBD,"Warner Bros. Discovery, Inc.",0.0269,2026-02-07
FPX,STX,Seagate Technology Holdings Plc,0.0258,2026-02-07
FPX,GEHC,GE HealthCare Technologies Inc.,0.0226,2026-02-07
FPX,DTM,"DT Midstream, Inc.",0.0219,2026-02-07
FPX,DASH,"DoorDash, Inc. (Class A)",0.0208,2026-02-07
FPX,IOT,Samsara Inc. (Class A),0.0181,2026-02-07
FPX,AMRZ,Amrize Ltd,0.0175,2026-02-07
FPX,LITE,Lumentum Holdings Inc.,0.0172,2026-02-07
FPX,VTR,"Ventas, Inc.",0.0171,2026-02-07
FPX,COR,Cencora Inc.,0.0166,2026-02-07
FPX,HOOD,"Robinhood Markets, Inc. (Class A)",0.016399999999999998,2026-02-07
FPX,CR,Crane Company,0.0139,2026-02-07
FPX,NRG,"NRG Energy, Inc.",0.0137,2026-02-07
FPX,THC,Tenet Healthcare Corporation,0.0132,2026-02-07
FPX,TPG,TPG Inc. (Class A),0.013000000000000001,2026-02-07
FPX,SOLV,Solventum Corporation,0.0125,2026-02-07
FPX,RDDT,"Reddit, Inc. (Class A)",0.011699999999999999,2026-02-07
FPX,ETR,Entergy Corporation,0.0116,2026-02-07
FPX,SOLS,Solstice Advanced Materials Inc.,0.0109,2026-02-07
FPX,NXT,Nextpower Inc. (Class A),0.0103,2026-02-07
FPX,CRBG,"Corebridge Financial, Inc.",0.009899999999999999,2026-02-07
FPX,BBIO,"BridgeBio Pharma, Inc.",0.0098,2026-02-07
FPX,CRWV,"CoreWeave, Inc. (Class A)",0.0092,2026-02-07
FPX,ULS,UL Solutions Inc. (Class A),0.008199999999999999,2026-02-07
FPX,AHR,"American Healthcare REIT, Inc.",0.008100000000000001,2026-02-07
FPX,SOFI,"SoFi Technologies, Inc.",0.008100000000000001,2026-02-07
FPX,RIVN,"Rivian Automotive, Inc. (Class A)",0.008,2026-02-07
FPX,RPRX,Royalty Pharma Plc (Class A),0.008,2026-02-07
FPX,CRDO,Credo Technology Group Holding Ltd,0.0066,2026-02-07
FPX,HG,"Hamilton Insurance Group, Ltd. (Class B)",0.0064,2026-02-07
FPX,KVUE,Kenvue Inc.,0.0064,2026-02-07
FPX,BTSG,"BrightSpring Health Services, Inc.",0.0063,2026-02-07
FPX,SYM,Symbiotic Inc. (Class A),0.0063,2026-02-07
FPX,Q,"Qnity Electronics, Inc.",0.006,2026-02-07
FPX,REGN,"Regeneron Pharmaceuticals, Inc.",0.0058,2026-02-07
FPX,KRMN,Karman Holdings Inc.,0.005600000000000001,2026-02-07
FPX,LLYVK,"Liberty Live Holdings, Inc. (Class C)",0.005600000000000001,2026-02-07
FPX,ACT,"Enact Holdings, Inc.",0.0055000000000000005,2026-02-07
FPX,RBRK,"Rubrik, Inc. (Class A)",0.0055000000000000005,2026-02-07
FPX,CTRE,"CareTrust REIT, Inc.",0.0053,2026-02-07
FPX,ENVA,"Enova International, Inc.",0.0053,2026-02-07
FPX,COCO,"The Vita Coco Company, Inc.",0.0053,2026-02-07
FPX,CTRI,"Centuri Holdings, Inc.",0.0051,2026-02-07
FPX,FOXA,Fox Corporation (Class A),0.0051,2026-02-07
FPX,GPGI,"GPGI Inc., (Class A)",0.0049,2026-02-07
FPX,NIC,"Nicolet Bankshares, Inc.",0.0048,2026-02-07
FPX,U,Unity Software Inc.,0.004699999999999999,2026-02-07
FPX,ATMU,Atmus Filtration Technologies Inc.,0.0044,2026-02-07
FPX,JXN,Jackson Financial Inc. (Class A),0.0043,2026-02-07
FPX,TNL,Travel + Leisure Co.,0.0042,2026-02-07
FPX,ALHC,"Alignment Healthcare, Inc.",0.0037,2026-02-07
FPX,MRP,"Millrose Properties, Inc. (Class A)",0.0037,2026-02-07
FPX,MKSI,"MKS, Inc.",0.0036,2026-02-07
FPX,LGND,Ligand Pharmaceuticals Inc. (Class B),0.0033,2026-02-07
FPX,SFD,"Smithfield Foods, Inc.",0.0031,2026-02-07
FPX,BWA,BorgWarner Inc.,0.003,2026-02-07
FPX,TTAN,"ServiceTitan, Inc. (Class A)",0.003,2026-02-07
FPX,VLTO,Veralto Corporation,0.003,2026-02-07
FPX,PRVA,"Privia Health Group, Inc.",0.0029,2026-02-07
FPX,DAVE,Dave Inc. (Class A),0.0027,2026-02-07
FPX,RAL,Ralliant Corporation,0.0027,2026-02-07
FPX,SARO,"StandardAero, Inc.",0.0027,2026-02-07
FPX,EXEL,"Exelixis, Inc.",0.0026,2026-02-07
FPX,GMED,"Globus Medical, Inc. (Class A)",0.0026,2026-02-07
FPX,NATL,NCR Atleos Corporation,0.0026,2026-02-07
FPX,ALAB,"Astera Labs, Inc.",0.0025,2026-02-07
FPX,IONS,"Ionis Pharmaceuticals, Inc.",0.0025,2026-02-07
FPX,OKLO,Oklo Inc. (Class A),0.0025,2026-02-07
FPX,DINO,HF Sinclair Corp.,0.0024,2026-02-07
FPX,SAIL,"SailPoint, Inc.",0.0022,2026-02-07
FPX,FIGR,"Figure Technology Solutions, Inc. (Class A)",0.0019,2026-02-07
FPX,CART,Maplebear Inc. (Instacart),0.0019,2026-02-07
FPX,DD,DuPont de Nemours Inc.,0.0018,2026-02-07
FPX,LZ,"LegalZoom.com, Inc.",0.0018,2026-02-07
FPX,NUVL,"Nuvalent, Inc. (Class A)",0.0018,2026-02-07
FPX,TEM,"Tempus AI, Inc. (Class A)",0.0017000000000000001,2026-02-07
FPX,AMTM,"Amentum Holdings, Inc.",0.0016,2026-02-07
FPX,COMP,"Compass, Inc. (Class A)",0.0015,2026-02-07
FPX,DOCN,"DigitalOcean Holdings, Inc.",0.0013,2026-02-07
FPX,MIR,"Mirion Technologies, Inc.",0.0013,2026-02-07
FPX,RITM,Rithm Capital Corp.,0.0013,2026-02-07
FPX,CNX,CNX Resources Corporation,0.0012,2026-02-07
FPX,LMND,"Lemonade, Inc.",0.0012,2026-02-07
FPX,VSAT,"ViaSat, Inc.",0.0012,2026-02-07
FPX,CGON,"CG Oncology, Inc.",0.0011,2026-02-07
FPX,INGM,Ingram Micro Holding Corporation,0.0011,2026-02-07
FPX,LGN,Legence Corp. (Class A),0.0011,2026-02-07
FPX,VSCO,Victoria's Secret & Co.,0.0011,2026-02-07
FPX,SBRA,"Sabra Health Care REIT, Inc.",0.001,2026-02-07
FPX,ECG,"Everus Construction Group, Inc.",0.0009,2026-02-07
FPX,MIAX,"Miami International Holdings, Inc.",0.0008,2026-02-07
FPX,CVI,"CVR Energy, Inc.",0.0007000000000000001,2026-02-07
FPX,$CAD,Canadian Dollar,0.0,2026-02-07
