ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
IVAL,PRU AU,Perseus Mining Ltd,0.0268,2026-08-27,2026-08-27
IVAL,BOL SS,Boliden AB,0.024900000000000002,2026-08-27,2026-08-27
IVAL,3659 JP,Nexon Co Ltd,0.0245,2026-08-27,2026-08-27
IVAL,BHP AU,BHP Group Ltd,0.0222,2026-08-27,2026-08-27
IVAL,OMV AV,OMV AG,0.0213,2026-08-27,2026-08-27
IVAL,4768 JP,Otsuka Corp,0.0212,2026-08-27,2026-08-27
IVAL,GALP PL,Galp Energia SGPS SA,0.0212,2026-08-27,2026-08-27
IVAL,4503 JP,Astellas Pharma Inc,0.021099999999999997,2026-08-27,2026-08-27
IVAL,FRO,Frontline PLC,0.021099999999999997,2026-08-27,2026-08-27
IVAL,AKRBP NO,AKER BP ASA,0.0208,2026-08-27,2026-08-27
IVAL,REP SM,Repsol SA,0.0206,2026-08-27,2026-08-27
IVAL,SSABB SS,SSAB AB,0.0206,2026-08-27,2026-08-27
IVAL,VAR NO,Var Energi ASA,0.0204,2026-08-27,2026-08-27
IVAL,YAR NO,Yara International ASA,0.0203,2026-08-27,2026-08-27
IVAL,7269 JP,Suzuki Motor Corp,0.0202,2026-08-27,2026-08-27
IVAL,EQNR NO,Equinor ASA,0.0202,2026-08-27,2026-08-27
IVAL,HEN3 GR,HENKEL AG & CO KGAA,0.020099999999999996,2026-08-27,2026-08-27
IVAL,4528 JP,Ono Pharmaceutical Co Ltd,0.020099999999999996,2026-08-27,2026-08-27
IVAL,BZU IM,Buzzi SpA,0.0199,2026-08-27,2026-08-27
IVAL,9201 JP,Japan Airlines Co Ltd,0.0199,2026-08-27,2026-08-27
IVAL,TUI1 GR,TUI AG,0.0199,2026-08-27,2026-08-27
IVAL,NDA GR,Aurubis AG,0.019799999999999998,2026-08-27,2026-08-27
IVAL,ERICB SS,Telefonaktiebolaget LM Ericsson,0.019799999999999998,2026-08-27,2026-08-27
IVAL,5110 JP,Sumitomo Rubber Industries Ltd,0.019799999999999998,2026-08-27,2026-08-27
IVAL,5406 JP,Kobe Steel Ltd,0.0197,2026-08-27,2026-08-27
IVAL,FGR FP,Eiffage SA,0.0196,2026-08-27,2026-08-27
IVAL,6770 JP,Alps Alpine Co Ltd,0.0194,2026-08-27,2026-08-27
IVAL,5101 JP,Yokohama Rubber Co Ltd/The,0.0194,2026-08-27,2026-08-27
IVAL,FNTN GR,Freenet AG,0.0194,2026-08-27,2026-08-27
IVAL,1878 JP,Daito Trust Construction Co Ltd,0.019299999999999998,2026-08-27,2026-08-27
IVAL,1963 JP,JGC Holdings Corp,0.019299999999999998,2026-08-27,2026-08-27
IVAL,6988 JP,Nitto Denko Corp,0.0192,2026-08-27,2026-08-27
IVAL,9202 JP,ANA Holdings Inc,0.0191,2026-08-27,2026-08-27
IVAL,6674 JP,GS Yuasa Corp,0.0191,2026-08-27,2026-08-27
IVAL,8227 JP,Shimamura Co Ltd,0.0189,2026-08-27,2026-08-27
IVAL,4042 JP,Tosoh Corp,0.0189,2026-08-27,2026-08-27
IVAL,9022 JP,Central Japan Railway Co,0.018799999999999997,2026-08-27,2026-08-27
IVAL,4204 JP,Sekisui Chemical Co Ltd,0.018799999999999997,2026-08-27,2026-08-27
IVAL,2875 JP,Toyo Suisan Kaisha Ltd,0.018600000000000002,2026-08-27,2026-08-27
IVAL,2587 JP,Suntory Beverage & Food Ltd,0.018500000000000003,2026-08-27,2026-08-27
IVAL,TEN IM,Tenaris SA,0.0184,2026-08-27,2026-08-27
IVAL,FMG AU,Fortescue Ltd,0.0183,2026-08-27,2026-08-27
IVAL,7259 JP,Aisin Corp,0.0182,2026-08-27,2026-08-27
IVAL,7202 JP,Isuzu Motors Ltd,0.018000000000000002,2026-08-27,2026-08-27
IVAL,6902 JP,Denso Corp,0.018000000000000002,2026-08-27,2026-08-27
IVAL,IMB LN,IMPERIAL BRANDS PLC,0.0177,2026-08-27,2026-08-27
IVAL,1802 JP,Obayashi Corp,0.0177,2026-08-27,2026-08-27
IVAL,1944 JP,Kinden Corp,0.0176,2026-08-27,2026-08-27
IVAL,QAN AU,Qantas Airways Ltd,0.0173,2026-08-27,2026-08-27
IVAL,4751 JP,CyberAgent Inc,0.0172,2026-08-27,2026-08-27
IVAL,FGXXX,First American Government Obligations Fund 12/01/2031,0.0046,2026-08-27,2026-08-27
